ID,LINK
526745,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-45/detail/526745/
243544,https://www.boat24.com/en/catalog/sailingboats/faurby/335/2023/243544/
444618,https://www.boat24.com/en/powerboats/buster/buster-xs/detail/444618/
542589,https://www.boat24.com/en/powerboats/bluestar/bluestar-holiday/detail/542589/
509575,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-merry-fisher-695-s2/detail/509575/
334195,https://www.boat24.com/en/engines/yamaha/yamaha-f-25-bmhs/detail/334195/
545035,https://www.boat24.com/en/sailingboats/lm/lm-81-in-flensburg/detail/545035/
528544,https://www.boat24.com/en/powerboats/parker/parker-780-escape/detail/528544/
527995,https://www.boat24.com/en/smallboats/yamaha-waverunner/yamaha-waverunner-vx-cruiser-ho-mit-audio/detail/527995/
245279,https://www.boat24.com/en/catalog/powerboats/beneteau/antares-6-ob/2022/245279/
487854,https://www.boat24.com/en/berths/dock/detail/487854/
491739,https://www.boat24.com/en/powerboats/karnic/karnic-sl652/detail/491739/
540003,https://www.boat24.com/en/powerboats/darragh-boats/darragh-boats-12/detail/540003/
538026,https://www.boat24.com/en/powerboats/glastron/glastron-laraya-rv-500/detail/538026/
527032,https://www.boat24.com/en/sailingboats/mcconaghy-mc53/detail/527032/
247487,https://www.boat24.com/en/powerboats/viking/viking-460-v/detail/247487/
80379,https://www.boat24.com/en/catalog/powerboats/buster/m2/2023/80379/
521883,https://www.boat24.com/en/powerboats/mangusta/mangusta-92/detail/521883/
515400,https://www.boat24.com/en/powerboats/klipper-varend-woonschip-3000-x-600-m/detail/515400/
12053,https://www.boat24.com/en/powerboats/aluminiumboot-runabout-18/detail/12053/
514881,https://www.boat24.com/en/sailingboats/reinke/reinke-15m/detail/514881/
521199,https://www.boat24.com/en/powerboats/saxdor/saxdor-200--fish-edition/detail/521199/
516799,https://www.boat24.com/en/engines/mercury/mercury-f115-l-efi-neu-prompt-verfuegbar/detail/516799/
536957,https://www.boat24.com/en/inflatableboats/lomac-nautica-520-ok/detail/536957/
544424,https://www.boat24.com/en/sailingboats/dehler/dehler-38-kurzkiel/detail/544424/
510533,https://www.boat24.com/en/sailingboats/nordia/nordia-49-cruiser/detail/510533/
452896,https://www.boat24.com/en/sailingboats/nautor-swan-78/detail/452896/
527425,https://www.boat24.com/en/powerboats/leopard/leopard-43-powercat/detail/527425/
512571,https://www.boat24.com/en/powerboats/neptun/neptun-baunummer-859/detail/512571/
540088,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-380/detail/540088/
542235,https://www.boat24.com/en/powerboats/four-winns/four-winns-h-180/detail/542235/
245925,https://www.boat24.com/en/catalog/powerboats/riva/68-diable/2023/245925/
545533,https://www.boat24.com/en/powerboats/sea-ray-220-sse/detail/545533/
533878,https://www.boat24.com/en/powerboats/nimbus/nimbus-c9/detail/533878/
410125,https://www.boat24.com/en/engines/mercury/mercury-f-6-mlh/detail/410125/
536528,https://www.boat24.com/en/powerboats/beneteau/beneteau-antares-9-ob/detail/536528/
245881,https://www.boat24.com/en/catalog/powerboats/fjord/53-xl/2022/245881/
527795,https://www.boat24.com/en/sailingboats/dehler/dehler-delanta-76/detail/527795/
245601,https://www.boat24.com/en/catalog/inflatableboats/zodiac/medline-9/2022/245601/
544094,https://www.boat24.com/en/powerboats/tuccoli-marine-t440-elba/detail/544094/
538305,https://www.boat24.com/en/sailingboats/cornish-crabbers/cornish-crabbers-cornish-crabber-22/detail/538305/
478723,https://www.boat24.com/en/sailingboats/lagoon/lagoon-46-2020-owners-version/detail/478723/
