,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
688,540520,Italy,USED BOAT,Tullio Abbate sea star super,Tullio,1982,powerboats,Sport Boat,GRP,7.0,2.26,,1,280.0,206.0,9000,https://www.boat24.com/en/powerboats/tullio-abbate/tullio-abbate-sea-star-super/detail/540520/
689,487599,Germany,NEW BOAT,Beneteau Antares 11 Fly,Beneteau,2022,powerboats,Flybridge,GRP,11.16,3.51,0.97,2,300.0,221.0,349900,https://www.boat24.com/en/powerboats/beneteau/beneteau-antares-11-fly/detail/487599/
690,545415,Switzerland,USED BOAT,Bayliner 175 GT,Bayliner,2010,powerboats,Bowrider,GRP,5.33,2.13,,1,135.0,99.0,14280.0,https://www.boat24.com/en/powerboats/bayliner/bayliner-175-gt/detail/545415/
691,540135,Portugal,USED BOAT,One Off Design Alu 42 Fuss Cutter - Weltumsegler,One,1990,sailingboats,Center Cockpit,Aluminium,12.92,3.99,1.8,1,65.0,48.0,124000,https://www.boat24.com/en/sailingboats/one-off-design/one-off-design-alu-42-fuss-cutter--weltumsegler/detail/540135/
692,543923,Italy,USED BOAT,Pershing 50',Pershing,2006,powerboats,Hardtop,,15.23,4.38,1.35,1,800.0,588.0,420000,https://www.boat24.com/en/powerboats/pershing/pershing-50/detail/543923/
693,336798,Netherlands,NEW BOAT,La Mare Houseboat Apartboat XXL,La,2023,powerboats,Floating House,,14.99,5.0,0.5,1,,,159900,https://www.boat24.com/en/powerboats/la-mare-houseboat-apartboat-xxl/detail/336798/
694,513045,Germany,USED BOAT,Boesch 900 Mediterranee,Boesch,2005,powerboats,Classic Power Boat,Wood,9.0,3.0,0.65,2,223.0,164.0,279000,https://www.boat24.com/en/powerboats/boesch/boesch-900-mediterranee/detail/513045/
695,536740,Spain,USED BOAT,Rodman 800 Fly,Rodman,2004,powerboats,Fishing Boat,GRP,8.0,3.03,,2,150.0,,49000,https://www.boat24.com/en/powerboats/rodman/rodman-800-fly/detail/536740/
696,510070,Germany,NEW BOAT,Sessa KEY LARGO 34 IB,Sessa,2023,powerboats,Motor Yacht,,9.9,3.3,0.7,1,,,2490000,https://www.boat24.com/en/powerboats/sessa/sessa-key-largo-34-ib/detail/510070/
697,539656,Hungary,USED BOAT,Roordas (NL) Bully 960 Salon,Roordas,1976,powerboats,Trawler,Steel,9.6,3.4,0.95,1,90.0,66.0,29500,https://www.boat24.com/en/powerboats/roordas-nl-bully-960-salon/detail/539656/
698,245685,,NEW BOAT,Ilca,Ovington Boats,2023,sailingboats,Sailing Dinghy,,4.2,1.39,,1,,,59000,https://www.boat24.com/en/catalog/sailingboats/ovington-boats/ilca/2023/245685/
699,510741,Portugal,NEW BOAT,Astilux 600 SD,Astilux,2022,powerboats,Cabin Cruiser,GRP,5.98,2.5,,1,140.0,103.0,39500,https://www.boat24.com/en/powerboats/astilux/astilux-600-sd/detail/510741/
701,27093,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Sport Boat,GRP,5.79,2.43,,1,115.0,85.0,72624.0,https://www.boat24.com/en/powerboats/boston-whaler/boston-whaler-190-montauk/detail/27093/
702,104770,Germany,NEW BOAT,Viko s30,Viko,2023,sailingboats,Regatta Boat,GRP,9.27,3.3,1.65,1,,,73200,https://www.boat24.com/en/sailingboats/viko/viko-s30/detail/104770/
703,425396,Germany,NEW BOAT,ZAR Formenti 59SL SONDERAUSSTG. SUZUKI 150 PS,ZAR,2023,inflatableboats,RIB,GRP,6.09,2.43,,1,150.0,110.0,100982,https://www.boat24.com/en/inflatableboats/zar-formenti/zar-formenti-59sl-sonderausstg-suzuki-150-ps/detail/425396/
704,543921,Netherlands,USED BOAT,Hanse 430,Hanse,2010,sailingboats,Sailing Yacht,GRP,13.15,4.18,2.25,1,55.0,40.0,169000,https://www.boat24.com/en/sailingboats/hanse/hanse-430/detail/543921/
705,441405,Croatia,USED BOAT,nan,nan,2009,powerboats,Hardtop,GRP,16.36,4.47,1.3,2,710.0,522.0,429000,https://www.boat24.com/en/powerboats/princess/princess-v53/detail/441405/
707,492945,Spain,USED BOAT,Axopar 28 T-Top,Axopar,2022,powerboats,Sport Boat,GRP,9.4,2.95,0.8,2,200.0,147.0,150000,https://www.boat24.com/en/powerboats/axopar/axopar-28-t-top/detail/492945/
708,496010,Germany,USED BOAT,Dynamic 35 RC,Dynamic,1987,sailingboats,Keelboat,GRP,10.7,2.5,1.55,1,90.0,66.0,32000,https://www.boat24.com/en/sailingboats/dynamic/dynamic-35-rc/detail/496010/
709,539169,Germany,USED BOAT,Zodiac Medline 580,Zodiac,2021,inflatableboats,RIB,GRP,5.8,2.54,,1,115.0,85.0,41500,https://www.boat24.com/en/inflatableboats/zodiac/zodiac-medline-580/detail/539169/
710,542748,France,USED BOAT,Cranchi 28 CSL,Cranchi,2003,powerboats,Trawler,,8.75,2.83,,2,225.0,165.0,45000,https://www.boat24.com/en/powerboats/cranchi/cranchi-28-csl/detail/542748/
711,526826,France,USED BOAT,Beneteau Oceanis 34,Beneteau,2011,sailingboats,Sailing Yacht,,10.34,3.65,1.82,1,29.0,21.0,66000,https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-34/detail/526826/
712,485782,Latvia,USED BOAT,Calletti x750,Calletti,2022,powerboats,Fishing Boat,Aluminium,7.85,2.45,0.6,1,250.0,184.0,58000,https://www.boat24.com/en/powerboats/calletti-x750/detail/485782/
713,520049,Croatia,USED BOAT,nan,nan,2005,powerboats,Motor Yacht,GRP,12.54,4.03,1.0,2,285.0,210.0,185000,https://www.boat24.com/en/powerboats/gobbi/gobbi-atlantis-42/detail/520049/
714,530039,Switzerland,USED BOAT,nan,nan,2022,powerboats,Hardtop,,8.8,2.81,0.91,1,250.0,184.0,158100.0,https://www.boat24.com/en/powerboats/ryck/ryck-280/detail/530039/
715,246335,,NEW BOAT,102 Corsaro,Riva,2023,powerboats,Superyacht,,30.24,6.7,2.26,1,,,15766,https://www.boat24.com/en/catalog/powerboats/riva/102-corsaro/2023/246335/
717,523114,Netherlands,USED BOAT,Van den Hoven 18m Pacific Exclusive,Van,2007,powerboats,Trawler,Steel,18.5,5.1,1.35,2,310.0,228.0,695000,https://www.boat24.com/en/powerboats/van-den-hoven-18m-pacific-exclusive/detail/523114/
718,539512,Sweden,USED BOAT,Regal 3060 Window Express,Regal,2006,powerboats,Sport Boat,,8.5,3.2,,1,,,50575.0,https://www.boat24.com/en/powerboats/regal/regal-3060-window-express/detail/539512/
719,540866,Switzerland,USED BOAT,Laser Bahia,Laser,2016,sailingboats,Sailing Dinghy,GRP,4.6,1.8,1.15,1,,,6834.0,https://www.boat24.com/en/sailingboats/laser/laser-bahia/detail/540866/
720,544561,Germany,USED BOAT,Larsmo Marin Avance 33 de Luxe,Larsmo,1987,sailingboats,Keelboat,GRP,10.3,2.62,1.67,1,16.0,12.0,45000,https://www.boat24.com/en/sailingboats/larsmo-marin/larsmo-marin-avance-33-de-luxe/detail/544561/
723,510745,Germany,NEW BOAT,Beneteau Flyer 9 Sundeck,Beneteau,2023,powerboats,Sport Boat,GRP,9.1,2.97,,2,250.0,184.0,169900,https://www.boat24.com/en/powerboats/beneteau/beneteau-flyer-9-sundeck/detail/510745/
724,482676,Italy,USED BOAT,Crownline 315 SCR,Crownline,2006,powerboats,Cabin Cruiser,,9.2,2.95,,2,300.0,221.0,75000,https://www.boat24.com/en/powerboats/crownline/crownline-315-scr/detail/482676/
725,511254,Germany,NEW BOAT,Jeanneau Sun Odyssey 349,Jeanneau,2022,sailingboats,Sailing Yacht,GRP,10.34,3.44,1.49,1,21.0,15.0,242104,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-349/detail/511254/
727,530856,Belgium,USED BOAT,Capelli Tempest 770 Sun,Capelli,2007,inflatableboats,RIB,,7.75,2.97,,1,250.0,184.0,33500,https://www.boat24.com/en/inflatableboats/capelli/capelli-tempest-770-sun/detail/530856/
728,538848,Italy,USED BOAT,Saver Saver690,Saver,2003,powerboats,Sport Boat,GRP,UNKNOWN,UNKNOWN,,2,235.0,173.0,19500,https://www.boat24.com/en/powerboats/saver/saver-saver690/detail/538848/
729,520637,Italy,USED BOAT,Sessa C 30,Sessa,2005,powerboats,Motor Yacht,GRP,9.5,3.0,,2,170.0,125.0,55000,https://www.boat24.com/en/powerboats/sessa/sessa-c-30/detail/520637/
730,545524,Finland,USED BOAT,Chris Craft Riva Holiday '18  Chris Chraft,Chris,1963,powerboats,Classic Power Boat,Wood,6.0,1.87,0.6,1,,,23500,https://www.boat24.com/en/powerboats/chris-craft/chris-craft-riva-holiday-18-chris-chraft/detail/545524/
732,8565,,NEW BOAT,Retro / Liberty 29,Egemar,2022,powerboats,Cabin Cruiser,,8.74,2.45,0.65,1,40.0,,139500,https://www.boat24.com/en/catalog/powerboats/egemar/retro-liberty-29/2022/8565/
733,534161,Germany,NEW BOAT,Hausboot Manufaktur Hamburg Heukenlock 60,Hausboot,2023,powerboats,Houseboat,Aluminium,12.0,5.0,0.5,1,,,260000,https://www.boat24.com/en/powerboats/hausboot-manufaktur-hamburg/hausboot-manufaktur-hamburg-heukenlock-60/detail/534161/
734,534569,Spain,USED BOAT,Contest 46,Contest,1989,sailingboats,Sailing Yacht,GRP,14.14,4.2,1.95,1,80.0,59.0,198000,https://www.boat24.com/en/sailingboats/contest-46/detail/534569/
735,529803,Netherlands,USED BOAT,Sanlorenzo SL82 #539,Sanlorenzo,2009,powerboats,Superyacht,GRP,23.95,6.17,2.1,1,,,2490000,https://www.boat24.com/en/powerboats/sanlorenzo/sanlorenzo-sl82-539/detail/529803/
736,542976,France,USED BOAT,Sessa Key Largo 28,Sessa,2008,powerboats,Cabin Cruiser,GRP,9.01,2.99,0.53,2,250.0,184.0,64000,https://www.boat24.com/en/powerboats/sessa/sessa-key-largo-28/detail/542976/
737,541184,Netherlands,USED BOAT,J BOAT J39,J,1992,sailingboats,Sailing Yacht,GRP,12.0,3.76,2.15,1,27.0,20.0,59000,https://www.boat24.com/en/sailingboats/j-boat-j39/detail/541184/
738,528663,Netherlands,NEW BOAT,Vri-Jon Contessa 47 OC,Vri-Jon,2023,powerboats,Motor Yacht,Steel,14.2,4.5,1.2,1,150.0,110.0,25900,https://www.boat24.com/en/powerboats/vri-jon/vri-jon-contessa-47-oc/detail/528663/
739,530343,Turkey,USED BOAT,Eyemoth Ketch,Eyemoth,1966,sailingboats,Ketch,Wood,16.1,4.72,1.95,1,147.0,108.0,75000,https://www.boat24.com/en/sailingboats/eyemoth-ketch/detail/530343/
740,537089,Italy,USED BOAT,Fairline SQUADRON 62,Fairline,2000,powerboats,Motor Yacht,GRP,19.63,5.01,1.38,2,1050.0,772.0,410000,https://www.boat24.com/en/powerboats/fairline/fairline-squadron-62/detail/537089/
741,539662,Denmark,USED BOAT,Yamarin 60 DC Yamarin 60 DC,Yamarin,2021,powerboats,Sport Boat,GRP,6.0,2.22,0.5,1,115.0,85.0,44850.0,https://www.boat24.com/en/powerboats/yamarin-60-dc-yamarin-60-dc/detail/539662/
742,531006,Germany,USED BOAT,Rio 590,Rio,1990,powerboats,Cabin Cruiser,GRP,5.9,2.4,,1,165.0,121.0,14900,https://www.boat24.com/en/powerboats/rio/rio-590/detail/531006/
743,526250,France,NEW BOAT,Saxdor 320 GTO,Saxdor,2023,powerboats,Motor Yacht,PVC,10.28,3.03,0.94,2,300.0,221.0,269220,https://www.boat24.com/en/powerboats/saxdor/saxdor-320-gto/detail/526250/
744,536712,Spain,USED BOAT,Princess V58,Princess,2007,powerboats,Hardtop,GRP,17.88,4.62,1.13,2,1001.0,736.0,435000,https://www.boat24.com/en/powerboats/princess/princess-v58/detail/536712/
745,537787,Switzerland,USED BOAT,Wirz Drachen,Wirz,1964,sailingboats,Sailing Yacht,Wood,8.9,1.98,,1,14.0,1.0,21420.0,https://www.boat24.com/en/sailingboats/wirz/wirz-drachen/detail/537787/
746,521966,Spain,USED BOAT,Sunseeker Tomahawk 41,Sunseeker,1998,powerboats,Motor Yacht,,13.45,3.3,,2,260.0,191.0,90000,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-tomahawk-41/detail/521966/
747,510025,Switzerland,USED BOAT,Monterey 256 Suncruiser,Monterey,1995,powerboats,Cabin Cruiser,GRP,7.5,2.5,0.9,1,220.0,162.0,27285.0,https://www.boat24.com/en/powerboats/monterey/monterey-256-suncruiser/detail/510025/
748,534026,Switzerland,NEW BOAT,Buster M1 Fishing Edition,Buster,2023,powerboats,Fishing Boat,Aluminium,4.86,1.85,,1,40.0,,19374.9,https://www.boat24.com/en/powerboats/buster/buster-m1-fishing-edition/detail/534026/
749,529426,Croatia,USED BOAT,Cranchi 50 MEDITERRANEE HT - BJ. 2007,Cranchi,2007,powerboats,Hardtop,GRP,15.3,4.33,1.25,2,775.0,570.0,299000,https://www.boat24.com/en/powerboats/cranchi/cranchi-50-mediterranee-ht--bj-2007/detail/529426/
750,510368,Sweden,USED BOAT,X-Shore X Shore Eelex 8000,X-Shore,2021,powerboats,Center Console,GRP,8.0,2.6,,1,306.0,225.0,180000,https://www.boat24.com/en/powerboats/x-shore/x-shore-x-shore-eelex-8000/detail/510368/
753,533368,Italy,NEW BOAT,GALA A300H,GALA,2023,inflatableboats,RIB,Hypalon,3.0,1.62,,1,,,4900,https://www.boat24.com/en/inflatableboats/gala/gala-a300h/detail/533368/
756,522487,Germany,NEW BOAT,Quicksilver Activ 605 Open,Quicksilver,2023,powerboats,Center Console,GRP,5.95,2.4,,1,115.0,85.0,42900,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-605-open/detail/522487/
757,534568,Germany,USED BOAT,Regal 26 Express,Regal,2017,powerboats,Sport Boat,GRP,8.0,2.5,0.85,1,300.0,221.0,145000,https://www.boat24.com/en/powerboats/regal/regal-26-express/detail/534568/
758,496828,France,NEW BOAT,Rhea 850 Open,Rhea,2023,powerboats,Cabin Cruiser,GRP,9.75,3.3,0.85,1,,,326338,https://www.boat24.com/en/powerboats/rhea/rhea-850-open/detail/496828/
759,544190,Denmark,NEW BOAT,Rodman 1090 Evolution Flybridge,Rodman,2024,powerboats,Flybridge,,10.48,3.46,,2,250.0,184.0,436670.0,https://www.boat24.com/en/powerboats/rodman/rodman-1090-evolution-flybridge/detail/544190/
760,510807,Germany,USED BOAT,Ernst-Riss verlangerter Eigenbau,Ernst-Riss,1978,powerboats,Trawler,Steel,13.4,3.3,1.2,1,87.0,64.0,19990,https://www.boat24.com/en/powerboats/ernst-riss-verlaengerter-eigenbau/detail/510807/
762,535648,Italy,USED BOAT,Sanlorenzo SL 82,Sanlorenzo,2009,powerboats,Flybridge,GRP,23.95,6.17,2.08,2,1675.0,1232.0,1950000,https://www.boat24.com/en/powerboats/sanlorenzo/sanlorenzo-sl-82/detail/535648/
763,504067,Germany,USED BOAT,Mathiessen & Paulsen 7KR Classic,Mathiessen,1969,sailingboats,Classic Sailing Yacht,Wood,11.8,3.35,1.65,1,36.0,26.0,140000,https://www.boat24.com/en/sailingboats/mathiessen-paulsen/mathiessen-paulsen-7kr-classic/detail/504067/
764,514304,Netherlands,USED BOAT,Succes 880 OK,Succes,1978,powerboats,Trawler,Steel,8.8,2.7,0.8,1,65.0,48.0,9500,https://www.boat24.com/en/powerboats/succes/succes-880-ok/detail/514304/
767,415904,Switzerland,NEW BOAT,Ibiza Boats 640 Touring,Ibiza,2022,powerboats,Sport Boat,GRP,6.3,2.34,,1,150.0,110.0,71746.8,https://www.boat24.com/en/powerboats/ibiza-boats/ibiza-boats-640-touring/detail/415904/
768,533413,Italy,NEW BOAT,GALA A300HQ,GALA,2023,inflatableboats,RIB,Hypalon,3.0,1.7,,1,,,6750,https://www.boat24.com/en/inflatableboats/gala/gala-a300hq/detail/533413/
769,545554,Germany,USED BOAT,Joker Boat Joker coaster boat 470,Joker,,inflatableboats,RIB,,4.7,2.1,,1,70.0,51.0,9900,https://www.boat24.com/en/inflatableboats/joker-boat/joker-boat-joker-coaster-boat-470/detail/545554/
770,487385,Germany,NEW BOAT,Sealine C390,Sealine,2022,powerboats,Hardtop,GRP,11.99,3.85,1.08,2,380.0,279.0,599000,https://www.boat24.com/en/powerboats/sealine/sealine-c390/detail/487385/
771,529602,Germany,USED BOAT,Sealine F 42/5,Sealine,2003,powerboats,Flybridge,GRP,12.88,4.2,1.1,2,480.0,353.0,199000,https://www.boat24.com/en/powerboats/sealine/sealine-f-425/detail/529602/
772,537873,Netherlands,USED BOAT,Sunseeker Thunderhawk 43,Sunseeker,1991,powerboats,Motor Yacht,,13.32,3.32,,2,320.0,235.0,139500,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-thunderhawk-43/detail/537873/
773,492716,Italy,USED BOAT,Performance 807 SOLD SOLD SOLD,Performance,2007,powerboats,Offshore Boat,GRP,8.5,2.55,0.6,2,300.0,221.0,1622840.0,https://www.boat24.com/en/powerboats/performance/performance-807-sold-sold-sold/detail/492716/
774,509485,Switzerland,NEW BOAT,Salpa 18 Soleil + Honda BF40E,Salpa,2023,inflatableboats,RIB,Hypalon,5.99,2.48,,1,,,22500,https://www.boat24.com/en/inflatableboats/salpa/salpa-18-soleil-honda-bf40e/detail/509485/
775,538610,Austria,USED BOAT,Gobbi 255 FC,Gobbi,1998,powerboats,Fishing Boat,GRP,7.0,2.5,0.65,1,200.0,147.0,32000,https://www.boat24.com/en/powerboats/gobbi/gobbi-255-fc/detail/538610/
776,460929,Switzerland,USED BOAT,Donzi Fearless Porsche 28,Donzi,2008,powerboats,Offshore Boat,GRP,8.44,2.62,,1,607.0,446.0,182580.0,https://www.boat24.com/en/powerboats/donzi/donzi-fearless-porsche-28/detail/460929/
777,488523,Germany,NEW BOAT,Jeanneau MERRY FISHER 895 SPORT,Jeanneau,2023,powerboats,Pilothouse,GRP,8.56,2.99,,1,,,109004,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-merry-fisher-895-sport/detail/488523/
778,544727,Germany,USED BOAT,Sea-Doo GTX 300 Limited,Sea-Doo,2022,smallboats,Personal Water Craft,,3.45,1.26,,1,300.0,221.0,25900,https://www.boat24.com/en/smallboats/sea-doo/sea-doo-gtx-300-limited/detail/544727/
779,413303,Germany,NEW BOAT,Capelli Tempest 1000 Sun + Twin Yamah F/FL300XSB,Capelli,2022,inflatableboats,RIB,Hypalon,10.1,3.35,,2,300.0,221.0,210000,https://www.boat24.com/en/inflatableboats/capelli/capelli-tempest-1000-sun-twin-yamah-ffl300xsb/detail/413303/
780,428528,Germany,NEW BOAT,Olympic 520 CC,Olympic,2019,powerboats,Sport Boat,GRP,5.28,2.28,0.45,1,,75.0,14500,https://www.boat24.com/en/powerboats/olympic/olympic-520-cc/detail/428528/
781,532057,Denmark,USED BOAT,Maxi 100,Maxi,1986,sailingboats,Sailing Yacht,GRP,10.05,3.24,1.55,1,29.0,21.0,34450.0,https://www.boat24.com/en/sailingboats/maxi-100/detail/532057/
782,507417,Italy,USED BOAT,Salpa Soleil 42,Salpa,2020,inflatableboats,RIB,GRP,12.75,3.9,0.9,3,300.0,221.0,350000,https://www.boat24.com/en/inflatableboats/salpa/salpa-soleil-42/detail/507417/
783,517177,Belgium,USED BOAT,Bavaria SR41 Coupe,Bavaria,2022,powerboats,Flybridge,GRP,13.23,3.99,1.02,2,355.0,261.0,389000,https://www.boat24.com/en/powerboats/bavaria/bavaria-sr41-coupe/detail/517177/
784,9190,,NEW BOAT,270 Bowrider,Formula,2022,powerboats,Bowrider,,8.23,2.59,1.02,1,,,15000,https://www.boat24.com/en/catalog/powerboats/formula/270-bowrider/2022/9190/
786,520833,Germany,USED BOAT,Invictus CX 280,Invictus,2018,powerboats,Cabin Cruiser,GRP,8.7,2.7,,1,300.0,221.0,99500,https://www.boat24.com/en/powerboats/invictus/invictus-cx-280/detail/520833/
787,473783,Netherlands,USED BOAT,Kraaier Kraaier Kotter,Kraaier,1998,powerboats,Trawler,Steel,14.35,4.35,1.6,1,157.0,115.0,198000,https://www.boat24.com/en/powerboats/kraaier-kraaier-kotter/detail/473783/
789,514189,,,nan,nan,,sailingboats,UNKNOWN,,UNKNOWN,UNKNOWN,,1,,,278154.0,https://www.boat24.com/en/sailingboats/bostrom-31-mk-1/detail/514189/
791,244761,,NEW BOAT,Grand Sturdy 500 AC Variotop,Linssen,2023,powerboats,Trawler,,14.98,4.88,1.29,2,,,420000,https://www.boat24.com/en/catalog/powerboats/linssen/grand-sturdy-500-ac-variotop/2023/244761/
792,532627,France,USED BOAT,NauticusBougainvillierHybride Electrique,NauticusBougainvillierHybride,2017,powerboats,Cabin Cruiser,Steel,14.95,4.5,0.7,3,24.0,18.0,149833,https://www.boat24.com/en/powerboats/nauticusbougainvillierhybride-electrique/detail/532627/
794,529134,Germany,USED BOAT,Axopar 28 Cabin 250 PS Verado,Axopar,2015,powerboats,Pilothouse,GRP,9.01,2.84,0.45,1,250.0,184.0,117800,https://www.boat24.com/en/powerboats/axopar/axopar-28-cabin-250-ps-verado/detail/529134/
795,535153,Austria,USED BOAT,Segelyacht 40 Fuss,Segelyacht,2022,sailingboats,Sailing Yacht,Steel,UNKNOWN,UNKNOWN,,1,,,11900,https://www.boat24.com/en/sailingboats/segelyacht-40-fuss/detail/535153/
797,542646,Italy,USED BOAT,Cerri 28 Sport,Cerri,1999,powerboats,Deck Boat,GRP,8.5,2.8,,1,,,49000,https://www.boat24.com/en/powerboats/cerri/cerri-28-sport/detail/542646/
800,435981,Virgin,USED BOAT,Jeanneau Sun Odyssey 389,Jeanneau,2018,sailingboats,Sailing Yacht,GRP,11.73,3.76,1.5,1,29.0,21.0,146280.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-389/detail/435981/
801,245680,,NEW BOAT,ISLA 40,Fountaine Pajot,2023,sailingboats,Catamaran,,11.93,6.63,1.21,2,20.0,,70370,https://www.boat24.com/en/catalog/sailingboats/fountaine-pajot/isla-40/2023/245680/
802,486764,Germany,NEW BOAT,Bayliner VR4 BOWRIDER OUTBOARD,Bayliner,2023,powerboats,Bowrider,GRP,5.74,2.29,,1,115.0,85.0,40530,https://www.boat24.com/en/powerboats/bayliner/bayliner-vr4-bowrider-outboard/detail/486764/
803,502923,Italy,USED BOAT,Riviera DIAVOLO 44,Riviera,1992,powerboats,Motor Yacht,GRP,13.4,3.4,1.2,2,410.0,302.0,50000,https://www.boat24.com/en/powerboats/riviera/riviera-diavolo-44/detail/502923/
804,509119,Switzerland,NEW BOAT,Invictus CX 250,Invictus,2023,powerboats,Cabin Cruiser,GRP,7.75,2.45,,1,250.0,184.0,148611.96,https://www.boat24.com/en/powerboats/invictus/invictus-cx-250/detail/509119/
805,539908,Netherlands,USED BOAT,Stevenvlet 12.45 AK,Stevenvlet,2000,powerboats,Trawler,Steel,13.0,4.0,0.95,1,,,179000,https://www.boat24.com/en/powerboats/stevenvlet-1245-ak/detail/539908/
806,9461,,NEW BOAT,224 FS,Monterey,2023,powerboats,Bowrider,,6.4,2.5,0.92,1,300.0,,96560,https://www.boat24.com/en/catalog/powerboats/monterey/224-fs/2023/9461/
807,536425,Spain,USED BOAT,Fairline Targa 44,Fairline,2010,powerboats,Motor Yacht,,13.68,4.05,,2,370.0,272.0,339000,https://www.boat24.com/en/powerboats/fairline/fairline-targa-44/detail/536425/
808,538155,Spain,USED BOAT,Bavaria 33 Sport,Bavaria,2009,powerboats,Cabin Cruiser,Carbon Fiber,10.4,3.5,0.9,2,320.0,235.0,88000,https://www.boat24.com/en/powerboats/bavaria/bavaria-33-sport/detail/538155/
809,539801,Spain,USED BOAT,Sunseeker Predator 60,Sunseeker,,powerboats,Motor Yacht,GRP,19.38,4.95,1.5,2,1200.0,883.0,980199.9999999999,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-predator-60/detail/539801/
811,539846,Italy,USED BOAT,Pershing 38,Pershing,1996,powerboats,Motor Yacht,GRP,11.02,3.6,1.0,2,350.0,257.0,79900,https://www.boat24.com/en/powerboats/pershing/pershing-38/detail/539846/
812,520349,Netherlands,USED BOAT,Freeman 27 OK Harmony 2,Freeman,1990,powerboats,Cabin Cruiser,GRP,8.25,3.1,0.9,1,35.0,26.0,17500,https://www.boat24.com/en/powerboats/freeman/freeman-27-ok-harmony-2/detail/520349/
813,541234,Switzerland,NEW BOAT,Grandezza 25 S,Grandezza,2023,powerboats,Cabin Cruiser,GRP,7.53,2.51,1.0,1,280.0,206.0,153765,https://www.boat24.com/en/powerboats/grandezza/grandezza-25-s/detail/541234/
814,506816,United,USED BOAT,Sunseeker Predator 60 EVO,Sunseeker,,powerboats,Motor Yacht,GRP,18.01,4.72,1.32,2,1000.0,735.0,1622840.0,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-predator-60-evo/detail/506816/
815,489574,Switzerland,NEW BOAT,Comitti Venezia 22,Comitti,2023,powerboats,Runabout,GRP,6.9,2.15,0.5,1,,,124100,https://www.boat24.com/en/powerboats/comitti/comitti-venezia-22/detail/489574/
817,523956,Germany,USED BOAT,Boston Whaler Conquest 255,Boston,2007,powerboats,Cabin Cruiser,GRP,8.2,2.66,,2,200.0,147.0,75000,https://www.boat24.com/en/powerboats/boston-whaler/boston-whaler-conquest-255/detail/523956/
818,512893,Germany,NEW BOAT,Bayliner Ciera 8,Bayliner,2023,powerboats,Cabin Cruiser,GRP,8.15,2.55,,1,350.0,257.0,143500,https://www.boat24.com/en/powerboats/bayliner/bayliner-ciera-8/detail/512893/
819,235870,Netherlands,NEW BOAT,"Lomac ADRENALINA 9,0 Nieuw",Lomac,2020,inflatableboats,RIB,Hypalon,8.75,2.97,,1,,,60000,https://www.boat24.com/en/inflatableboats/lomac/lomac-adrenalina-90-nieuw/detail/235870/
820,544195,Germany,USED BOAT,Mainship 34 Trawler,Mainship,2010,powerboats,Cabin Cruiser,GRP,11.0,4.32,0.99,2,370.0,272.0,139000,https://www.boat24.com/en/powerboats/mainship/mainship-34-trawler/detail/544195/
821,529237,Switzerland,NEW BOAT,Quicksilver 675 Sundeck,Quicksilver,2023,powerboats,Cabin Cruiser,GRP,6.45,2.55,,1,150.0,110.0,52530.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-675-sundeck/detail/529237/
822,475751,Spain,USED BOAT,Monterey 275 SCR,Monterey,2016,powerboats,Sport Boat,GRP,8.35,2.59,0.9,1,320.0,235.0,95000,https://www.boat24.com/en/powerboats/monterey/monterey-275-scr/detail/475751/
823,528386,Switzerland,NEW BOAT,Compass Boats 190sf,Compass,2023,powerboats,Bowrider,GRP,5.81,2.28,,1,200.0,147.0,29478.0,https://www.boat24.com/en/powerboats/compass-boats/compass-boats-190sf/detail/528386/
824,514361,Germany,NEW BOAT,Italmar WA 19 Plus,Italmar,2023,powerboats,Sport Boat,GRP,5.7,2.3,0.6,1,100.0,74.0,45499,https://www.boat24.com/en/powerboats/italmar/italmar-wa-19-plus/detail/514361/
825,543359,Switzerland,USED BOAT,Sea Ray 260 DA/275 DA,Sea,2005,powerboats,Cabin Cruiser,GRP,8.53,2.59,,1,306.0,225.0,71400.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-260-da275-da/detail/543359/
826,535162,Netherlands,USED BOAT,Ten Broeke 900,Ten,1980,powerboats,Trawler,Steel,9.0,3.0,0.8,1,60.0,44.0,15000,https://www.boat24.com/en/powerboats/ten-broeke/ten-broeke-900/detail/535162/
827,540415,Germany,USED BOAT,Moody 38 CC,Moody,1993,sailingboats,Center Cockpit,GRP,11.5,3.86,1.55,1,50.0,37.0,98000,https://www.boat24.com/en/sailingboats/moody/moody-38-cc/detail/540415/
