,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
588,502110,Netherlands,NEW BOAT,Apreamare Gozzo 45 - JAN 2024,Apreamare,2023,powerboats,Motor Yacht,GRP,14.7,4.7,1.3,1,,,136149.6,https://www.boat24.com/en/powerboats/apreamare/apreamare-gozzo-45--jan-2024/detail/502110/
589,425400,Switzerland,USED BOAT,Bavaria Sport 35,Bavaria,2014,powerboats,Cabin Cruiser,GRP,10.8,3.59,0.7,2,300.0,221.0,174900,https://www.boat24.com/en/powerboats/bavaria/bavaria-sport-35/detail/425400/
590,515913,Denmark,NEW BOAT,Bavaria SR36HT,Bavaria,2023,powerboats,Hardtop,,11.44,3.85,0.97,1,600.0,441.0,475580.69,https://www.boat24.com/en/powerboats/bavaria/bavaria-sr36ht/detail/515913/
591,542061,Spain,NEW BOAT,Sealine S430,Sealine,2023,powerboats,Cabin Cruiser,GRP,13.55,4.2,0.94,2,440.0,324.0,928327,https://www.boat24.com/en/powerboats/sealine/sealine-s430/detail/542061/
592,532463,Switzerland,USED BOAT,Fibrafort Style 280 GT,Fibrafort,2011,powerboats,Cabin Cruiser,GRP,8.82,2.87,,1,320.0,235.0,61200.0,https://www.boat24.com/en/powerboats/fibrafort/fibrafort-style-280-gt/detail/532463/
593,521416,Denmark,,Jeanneau 1095 Merry Fisher Fly,Jeanneau,2023,powerboats,Pilothouse,,10.0,0.03,,1,600.0,441.0,296660.0,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-1095-merry-fisher-fly/detail/521416/
594,387139,Germany,NEW BOAT,Terhi Saiman,Terhi,2022,smallboats,Rowing Boat,,4.78,1.48,,1,,,3300,https://www.boat24.com/en/smallboats/terhi/terhi-saiman/detail/387139/
595,347448,Italy,USED BOAT,Sport Craft 251 WAC,Sport,1999,powerboats,Deck Boat,GRP,7.68,2.6,0.3,1,250.0,184.0,23000,https://www.boat24.com/en/powerboats/sport-craft/sport-craft-251-wac/detail/347448/
597,9139,,NEW BOAT,Moraga F-790,Faeton,2022,powerboats,Pilothouse,,8.3,2.94,,1,220.0,,395000,https://www.boat24.com/en/catalog/powerboats/faeton/moraga-f-790/2022/9139/
598,545122,Croatia,USED BOAT,Elan Impression 45,Elan,2017,sailingboats,Sailing Yacht,,13.85,4.18,,1,60.0,44.0,170000,https://www.boat24.com/en/sailingboats/elan/elan-impression-45/detail/545122/
599,494542,Switzerland,NEW BOAT,Capelli Tempest 275 Tender,Capelli,2023,inflatableboats,RIB,,2.75,1.54,,1,,,3661.8,https://www.boat24.com/en/inflatableboats/capelli/capelli-tempest-275-tender/detail/494542/
600,544045,France,USED BOAT,Four Winns 195,Four,1997,powerboats,Deck Boat,GRP,5.79,2.21,0.4,1,115.0,85.0,16500,https://www.boat24.com/en/powerboats/four-winns/four-winns-195/detail/544045/
602,504981,Spain,USED BOAT,Sunseeker Portofino 375,Sunseeker,1998,powerboats,Motor Yacht,GRP,11.9,3.65,,2,230.0,169.0,69000,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-portofino-375/detail/504981/
603,524098,Germany,NEW BOAT,nan,nan,2023,powerboats,Sport Boat,GRP,9.04,3.23,0.58,2,300.0,221.0,287251,https://www.boat24.com/en/powerboats/finnmaster/finnmaster-t9-st/detail/524098/
604,532818,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Pilothouse,GRP,6.05,2.49,,1,100.0,74.0,69339.6,https://www.boat24.com/en/powerboats/manara/manara-pilothouse-21/detail/532818/
605,545406,Netherlands,USED BOAT,Parlevinker Varend Woonschip,Parlevinker,1955,powerboats,Motor Yacht,Steel,13.4,3.4,0.95,1,,,12500,https://www.boat24.com/en/powerboats/parlevinker-varend-woonschip/detail/545406/
606,526548,Denmark,USED BOAT,Drago 660s Drago 660S,Drago,2020,powerboats,Motor Yacht,GRP,6.6,2.26,0.5,1,140.0,103.0,38870.0,https://www.boat24.com/en/powerboats/drago-660s-drago-660s/detail/526548/
607,537927,Germany,USED BOAT,Nauticat 38,Nauticat,2001,sailingboats,Deck Saloon,GRP,11.8,3.4,1.8,1,100.0,74.0,189000,https://www.boat24.com/en/sailingboats/nauticat/nauticat-38/detail/537927/
608,538868,Netherlands,USED BOAT,Winner 11.20,Winner,2006,sailingboats,Sailing Yacht,GRP,11.2,3.6,1.95,1,,,99750,https://www.boat24.com/en/sailingboats/winner/winner-1120/detail/538868/
609,540431,Sweden,USED BOAT,Bavaria 32 Cruiser,Bavaria,2011,sailingboats,Sailing Yacht,,9.99,3.42,,1,,,63750.00000000001,https://www.boat24.com/en/sailingboats/bavaria/bavaria-32-cruiser/detail/540431/
610,495927,France,NEW BOAT,Rhea 32 Open,Rhea,2023,powerboats,Sport Boat,GRP,9.8,3.45,0.45,1,,,255269,https://www.boat24.com/en/powerboats/rhea/rhea-32-open/detail/495927/
611,524272,Germany,NEW BOAT,Astondoa 100 Century,Astondoa,2022,powerboats,Superyacht,GRP,30.5,6.8,2.0,2,2186.0,1608.0,21900,https://www.boat24.com/en/powerboats/astondoa/astondoa-100-century/detail/524272/
612,543750,Belgium,USED BOAT,Standfast 43,Standfast,1987,sailingboats,Sailing Yacht,GRP,13.0,4.0,,1,50.0,37.0,95000,https://www.boat24.com/en/sailingboats/standfast/standfast-43/detail/543750/
613,525855,France,USED BOAT,Wauquiez centurion 47 GTE Racing,Wauquiez,1987,sailingboats,Sailing Yacht,,14.47,4.47,2.6,1,62.0,46.0,135000,https://www.boat24.com/en/sailingboats/wauquiez/wauquiez-centurion-47-gte-racing/detail/525855/
615,521197,Germany,USED BOAT,Sloop 23,Sloop,2006,powerboats,Cabin Cruiser,GRP,7.01,2.34,,1,29.0,21.0,39800,https://www.boat24.com/en/powerboats/sloop-23/detail/521197/
616,543726,Netherlands,USED BOAT,Atlantis 1,Atlantis,1965,sailingboats,Sailing Yacht,Steel,8.3,2.5,1.3,1,10.0,7.0,4500,https://www.boat24.com/en/sailingboats/atlantis-1/detail/543726/
617,539023,Finland,USED BOAT,Askeladden 805 Commuter,Askeladden,2007,powerboats,Pilothouse,GRP,8.0,2.7,1.0,1,306.0,225.0,56400,https://www.boat24.com/en/powerboats/askeladden/askeladden-805-commuter/detail/539023/
618,516462,Italy,USED BOAT,Corsair Marine F28 CCR,Corsair,2008,sailingboats,Regatta Boat,GRP,8.1,6.2,,1,80.0,59.0,85000,https://www.boat24.com/en/sailingboats/corsair-marine/corsair-marine-f28-ccr/detail/516462/
619,507120,Croatia,USED BOAT,Galeon 420 Fly,Galeon,2012,powerboats,Motor Yacht,,13.25,4.16,1.02,2,,,339000,https://www.boat24.com/en/powerboats/galeon/galeon-420-fly/detail/507120/
620,297506,Switzerland,NEW BOAT,Quicksilver Activ 905 Weekend,Quicksilver,2023,powerboats,Center Console,GRP,8.91,2.98,,1,250.0,184.0,136149.6,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-905-weekend/detail/297506/
621,517052,Italy,USED BOAT,Itama FiftyFive,Itama,2007,powerboats,Motor Yacht,GRP,17.0,4.75,1.71,2,1380.0,1015.0,343000,https://www.boat24.com/en/powerboats/itama/itama-fiftyfive/detail/517052/
622,421052,Germany,NEW BOAT,Bombard Explorer 420,Bombard,2023,inflatableboats,RIB,Hypalon,4.2,1.9,,1,,,5860,https://www.boat24.com/en/inflatableboats/bombard/bombard-explorer-420/detail/421052/
623,526062,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Fishing Boat,GRP,6.0,2.0,0.4,1,60.0,44.0,25500.0,https://www.boat24.com/en/powerboats/j2j-service/j2j-service-j-585-a-fish/detail/526062/
624,534563,Belgium,,Salpa Soleil 33,Salpa,2021,inflatableboats,RIB,,10.25,3.4,,2,700.0,515.0,269000,https://www.boat24.com/en/inflatableboats/salpa/salpa-soleil-33/detail/534563/
625,501604,Netherlands,USED BOAT,Atlantic 37,Atlantic,1987,powerboats,Motor Yacht,GRP,11.4,3.7,1.1,2,212.0,156.0,75000,https://www.boat24.com/en/powerboats/atlantic/atlantic-37/detail/501604/
626,510935,Greece,USED BOAT,Gaffers and Luggers Pilot Cutter,Gaffers,2012,sailingboats,Classic Sailing Yacht,GRP,22.8,5.8,2.7,1,150.0,110.0,678300,https://www.boat24.com/en/sailingboats/gaffers-and-luggers-pilot-cutter/detail/510935/
627,528625,Turkey,USED BOAT,Custom Motoryacht,Custom,2012,powerboats,Motor Yacht,GRP,14.9,4.4,2.1,1,,,300000,https://www.boat24.com/en/powerboats/custom-motoryacht/detail/528625/
628,538344,Panama,USED BOAT,Amel SHARKI,Amel,1987,sailingboats,Center Cockpit,GRP,11.95,3.6,1.85,1,45.0,33.0,98000,https://www.boat24.com/en/sailingboats/amel/amel-sharki/detail/538344/
629,520240,Germany,USED BOAT,Elegance 54,Elegance,2005,powerboats,Flybridge,GRP,16.3,4.8,1.36,2,730.0,537.0,395000,https://www.boat24.com/en/powerboats/elegance/elegance-54/detail/520240/
630,336616,Switzerland,NEW BOAT,Grandezza 28 DC,Grandezza,2023,powerboats,Sport Boat,GRP,8.8,2.85,,1,350.0,257.0,183525,https://www.boat24.com/en/powerboats/grandezza/grandezza-28-dc/detail/336616/
