,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
7926,541116,Germany,USED BOAT,Eista Artur Nova,Eista,1966,powerboats,Cabin Cruiser,Steel,9.3,3.3,1.0,1,50.0,37.0,28900.0,https://www.boat24.com/en/powerboats/eista/eista-artur-nova/detail/541116/
7928,545663,Italy,USED BOAT,nan,nan,2004,powerboats,Motor Yacht,GRP,0.0,5.3,1.6,2,2000.0,1471.0,1000000.0,https://www.boat24.com/en/powerboats/bertram/bertram-630/detail/545663/
7931,509351,Poland,USED BOAT,Galeon 290 fly,Galeon,2007,powerboats,Cabin Cruiser,GRP,8.77,2.95,1.04,1,310.0,228.0,192000.0,https://www.boat24.com/en/powerboats/galeon/galeon-290-fly/detail/509351/
7936,461218,France,USED BOAT,Jeanneau Prestige 390 S,Jeanneau,2011,powerboats,Hardtop,GRP,11.92,3.89,0.9,2,320.0,235.0,169000.0,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-prestige-390-s/detail/461218/
7938,522939,Germany,USED BOAT,Quicksilver Activ 605 Sundeck,Quicksilver,2022,powerboats,Sport Boat,GRP,6.45,2.4,0.44,1,115.0,85.0,46000.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-605-sundeck/detail/522939/
7941,539870,Netherlands,USED BOAT,Dufour 2800,Dufour,1980,sailingboats,Sailing Yacht,GRP,8.25,2.97,1.6,1,65.0,48.0,15000.0,https://www.boat24.com/en/sailingboats/dufour/dufour-2800/detail/539870/
7943,544968,Germany,USED BOAT,Jeanneau Sun Odyssey 440,Jeanneau,2020,sailingboats,Sailing Yacht,GRP,13.0,4.29,2.2,1,57.0,42.0,359900.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-440/detail/544968/
7947,542391,Germany,USED BOAT,Jeanneau Fantasia 27,Jeanneau,1983,sailingboats,Keelboat,GRP,8.3,2.88,1.72,1,90.0,66.0,12000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-fantasia-27/detail/542391/
7949,499916,Germany,NEW BOAT,Nimbus 405 Coupe 2x 320 PS Diesel Fruhjahr 2024,Nimbus,2024,powerboats,Motor Yacht,GRP,13.33,3.86,1.05,2,320.0,235.0,727800.0,https://www.boat24.com/en/powerboats/nimbus/nimbus-405-coupe-2x-320-ps-diesel-fruehjahr-2024/detail/499916/
7951,523720,France,USED BOAT,Selene 53,Selene,2007,powerboats,Flybridge,GRP,16.64,5.0,1.75,2,267.0,196.0,789000.0,https://www.boat24.com/en/powerboats/selene/selene-53/detail/523720/
7955,522306,Italy,USED BOAT,Nautors Swan 60,Nautors,1998,sailingboats,Classic Sailing Yacht,GRP,19.12,5.34,3.5,1,180.0,132.0,1100000.0,https://www.boat24.com/en/sailingboats/nautors-swan/nautors-swan-60/detail/522306/
7957,541007,Spain,USED BOAT,Beneteau 50,Beneteau,2004,sailingboats,Sailing Yacht,GRP,15.0,4.48,1.8,1,100.0,74.0,115000.0,https://www.boat24.com/en/sailingboats/beneteau/beneteau-50/detail/541007/
7959,469658,Germany,USED BOAT,Andersen & Ferdinandsen Kjeld K. Rasmussen,Andersen,1959,sailingboats,Ketch,Wood,18.75,4.65,2.35,1,96.0,71.0,99000.0,https://www.boat24.com/en/sailingboats/andersen-ferdinandsen/andersen-ferdinandsen-kjeld-k-rasmussen/detail/469658/
7962,534453,Greece,USED BOAT,Lagoon SEVENTY8,Lagoon,2018,powerboats,Motor Yacht,GRP,23.8,23.05,1.27,2,583.0,429.0,4995000.0,https://www.boat24.com/en/powerboats/lagoon/lagoon-seventy8/detail/534453/
7963,487667,Italy,USED BOAT,Cantieri Navali Liguri Ghibli 24,Cantieri,2001,powerboats,Motor Yacht,Aluminium,23.99,6.4,2.2,2,1800.0,1324.0,1795000.0,https://www.boat24.com/en/powerboats/cantieri-navali-liguri/cantieri-navali-liguri-ghibli-24/detail/487667/
7964,539868,Spain,USED BOAT,Riva Mercurius 59,Riva,2002,powerboats,Motor Yacht,GRP,18.05,4.72,1.2,2,1050.0,772.0,393240.0,https://www.boat24.com/en/powerboats/riva/riva-mercurius-59/detail/539868/
7967,513787,Germany,USED BOAT,Bandido Yachts 75,Bandido,2009,powerboats,Flybridge,GRP,23.6,6.47,1.93,2,560.0,412.0,1999000.0,https://www.boat24.com/en/powerboats/bandido-yachts/bandido-yachts-75/detail/513787/
7970,217355,Germany,NEW BOAT,Quicksilver Activ 555 Open mit 80PS und Trailer,Quicksilver,2023,powerboats,Deck Boat,GRP,5.55,2.29,0.36,1,80.0,59.0,32499.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-555-open-mit-80ps-und-trailer/detail/217355/
7980,544087,Portugal,USED BOAT,Wauquiez Pilot Saloon 60,Wauquiez,1994,sailingboats,Deck Saloon,GRP,18.6,5.1,2.5,2,80.0,59.0,745000.0,https://www.boat24.com/en/sailingboats/wauquiez/wauquiez-pilot-saloon-60/detail/544087/
7983,524344,Germany,NEW BOAT,Beneteau Swift Trawler 35 - 01/2023 verfugbar,Beneteau,2022,powerboats,Motor Yacht,GRP,11.29,4.03,1.17,1,425.0,313.0,384400.0,https://www.boat24.com/en/powerboats/beneteau/beneteau-swift-trawler-35--012023-verfuegbar/detail/524344/
7987,506512,Germany,NEW BOAT,Sea Ray 320 Sundancer,Sea,2023,powerboats,Motor Yacht,GRP,10.31,3.25,0.8,2,350.0,257.0,178000.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-320-sundancer/detail/506512/
