,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
5103,538816,Germany,USED BOAT,Doriff 8008,Doriff,2000,powerboats,Cabin Cruiser,GRP,8.6,2.52,0.9,1,170.0,125.0,53600.0,https://www.boat24.com/en/powerboats/doriff/doriff-8008/detail/538816/
5105,509565,Germany,USED BOAT,Contrast 400,Contrast,1996,sailingboats,Keelboat,GRP,12.4,3.7,2.05,1,43.0,32.0,119000.0,https://www.boat24.com/en/sailingboats/contrast/contrast-400/detail/509565/
5109,539526,Croatia,USED BOAT,Jeanneau Sun Odyssey 419,Jeanneau,2018,sailingboats,Sailing Yacht,GRP,12.34,4.0,1.55,1,45.0,33.0,149000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-419/detail/539526/
5110,519395,Switzerland,NEW BOAT,Tige 20RZX,Tige,2023,powerboats,Wakeboard/Wakesurf,GRP,6.1,2.59,0.75,1,350.0,257.0,197800.0,https://www.boat24.com/en/powerboats/tige/tige-20rzx/detail/519395/
5112,515866,Switzerland,NEW BOAT,Mirakul 30 Hardtop /neu,Mirakul,2023,powerboats,Hardtop,GRP,9.3,3.08,0.7,1,350.0,257.0,169932.0,https://www.boat24.com/en/powerboats/mirakul/mirakul-30-hardtop-neu/detail/515866/
5116,403517,Croatia,USED BOAT,Lagoon 380,Lagoon,2011,sailingboats,Catamaran,GRP,11.55,6.53,1.15,2,29.0,21.0,193000.0,https://www.boat24.com/en/sailingboats/lagoon/lagoon-380/detail/403517/
5117,528407,Germany,USED BOAT,SUNBEAM 37,SUNBEAM,2008,sailingboats,Sailing Yacht,GRP,11.3,3.85,1.65,1,55.0,40.0,221900.0,https://www.boat24.com/en/sailingboats/sunbeam/sunbeam-37/detail/528407/
5120,541797,Germany,USED BOAT,Bianca 27,Bianca,1975,sailingboats,Keelboat,GRP,8.25,2.44,1.4,1,16.0,11.0,9800.0,https://www.boat24.com/en/sailingboats/bianca/bianca-27/detail/541797/
5124,520253,Switzerland,NEW BOAT,Bavaria SR36 HT,Bavaria,2023,powerboats,Motor Yacht,GRP,12.28,3.85,0.97,2,300.0,221.0,518370.0,https://www.boat24.com/en/powerboats/bavaria/bavaria-sr36-ht/detail/520253/
5126,527526,Germany,USED BOAT,Beister Werft 10m,Beister,1968,sailingboats,Classic Sailing Yacht,Steel,10.0,2.7,1.7,1,25.0,18.0,23000.0,https://www.boat24.com/en/sailingboats/beister-werft/beister-werft-10m/detail/527526/
5127,524318,Portugal,USED BOAT,Fajgun 38,Fajgun,1972,sailingboats,Classic Sailing Yacht,Ferro Cement,11.4,3.24,1.6,1,50.0,37.0,45000.0,https://www.boat24.com/en/sailingboats/fajgun/fajgun-38/detail/524318/
5129,528009,Germany,NEW BOAT,Buster X,Buster,2023,powerboats,Bowrider,Aluminium,5.35,2.01,0.3,1,70.0,51.0,38600.0,https://www.boat24.com/en/powerboats/buster/buster-x/detail/528009/
5131,542064,Portugal,USED BOAT,Jeanneau Fantasia 27,Jeanneau,1987,sailingboats,Cruising Yacht,GRP,7.5,2.85,0.9,1,80.0,59.0,22000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-fantasia-27/detail/542064/
5139,545461,Germany,USED BOAT,Sea Ray 190 Sport,Sea,2019,powerboats,Bowrider,GRP,5.99,2.21,0.86,1,200.0,147.0,44900.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-190-sport/detail/545461/
5146,487998,Spain,USED BOAT,Van de Stadt 74 Ocean Ketch,Van,1993,sailingboats,Ketch,Steel,22.4,5.4,2.75,1,300.0,221.0,5500000.0,https://www.boat24.com/en/sailingboats/van-de-stadt/van-de-stadt-74-ocean-ketch/detail/487998/
5148,41191,Spain,USED BOAT,Nimbus 280 Coupe,Nimbus,2000,powerboats,Cabin Cruiser,GRP,8.6,2.85,0.9,1,150.0,110.0,73000.0,https://www.boat24.com/en/powerboats/nimbus/nimbus-280-coupe/detail/41191/
5151,542911,Netherlands,USED BOAT,Valk Sport,Valk,1978,powerboats,Motor Yacht,Steel,10.6,3.4,1.1,1,62.0,46.0,29500.0,https://www.boat24.com/en/powerboats/valk/valk-sport/detail/542911/
5155,521582,Portugal,USED BOAT,Vagabond 31,Vagabond,1983,sailingboats,Cruising Yacht,GRP,9.1,3.05,1.6,1,28.0,21.0,45000.0,https://www.boat24.com/en/sailingboats/vagabond/vagabond-31/detail/521582/
5157,504406,Germany,NEW BOAT,Quicksilver Activ 675 Bowrider 200 PS,Quicksilver,2023,powerboats,Bowrider,GRP,6.48,2.46,0.47,1,200.0,147.0,66999.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-675-bowrider-200-ps/detail/504406/
5160,540717,Belgium,USED BOAT,Crownline 268 CR,Crownline,2001,powerboats,Sport Boat,GRP,8.16,2.5,0.3,1,370.0,272.0,34876.0,https://www.boat24.com/en/powerboats/crownline/crownline-268-cr/detail/540717/
5161,531930,Germany,NEW BOAT,Saver 560 Walkaround,Saver,2022,powerboats,Center Console,GRP,5.6,2.26,0.85,1,80.0,59.0,41990.0,https://www.boat24.com/en/powerboats/saver/saver-560-walkaround/detail/531930/
5167,539891,Germany,USED BOAT,Sealine S 37,Sealine,1999,powerboats,Motor Yacht,GRP,11.3,3.7,0.94,2,240.0,177.0,99000.0,https://www.boat24.com/en/powerboats/sealine/sealine-s-37/detail/539891/
5171,502511,Netherlands,NEW BOAT,Safter 465 Console/Sloep/Sportboot,Safter,2022,powerboats,Deck Boat,GRP,4.65,1.7,0.3,1,90.0,66.0,7900.0,https://www.boat24.com/en/powerboats/safter-465-consolesloepsportboot/detail/502511/
5172,429854,Germany,NEW BOAT,Remus 450 SC,Remus,2022,powerboats,Sport Boat,GRP,4.5,1.95,0.25,1,15.0,11.0,11490.0,https://www.boat24.com/en/powerboats/remus/remus-450-sc/detail/429854/
5174,516855,Germany,USED BOAT,hollandischer Werftbau Coaster Kruiser 9,hollandischer,1976,powerboats,Trawler,Steel,9.0,2.85,1.0,1,80.0,59.0,9990.0,https://www.boat24.com/en/powerboats/hollaendischer-werftbau-coaster-kruiser-9/detail/516855/
5175,537877,Greece,USED BOAT,Beneteau First 38s5,Beneteau,1993,sailingboats,Cruising Yacht,GRP,11.29,3.72,1.89,1,39.0,29.0,83000.0,https://www.boat24.com/en/sailingboats/beneteau/beneteau-first-38s5/detail/537877/
5179,520508,Germany,USED BOAT,Grandezza 28 OC,Grandezza,2018,powerboats,Motor Yacht,GRP,8.8,2.85,1.0,1,300.0,221.0,150000.0,https://www.boat24.com/en/powerboats/grandezza/grandezza-28-oc/detail/520508/
5182,480673,Italy,NEW BOAT,Sessa C38,Sessa,2023,powerboats,Hardtop,GRP,11.7,3.75,0.96,2,300.0,221.0,29500.0,https://www.boat24.com/en/powerboats/sessa/sessa-c38/detail/480673/
5184,537793,Italy,NEW BOAT,Riva Ariston 3rd series 1971,Riva,1971,powerboats,Classic Power Boat,Wood,6.8,2.22,0.47,1,220.0,162.0,49000.0,https://www.boat24.com/en/powerboats/riva/riva-ariston-3rd-series-1971/detail/537793/
5185,541393,Germany,USED BOAT,Wim van der Valk Valkkruiser 15.40,Wim,1996,powerboats,Motor Yacht,Steel,16.8,4.2,1.3,1,116.0,85.0,158000.0,https://www.boat24.com/en/powerboats/wim-van-der-valk/wim-van-der-valk-valkkruiser-1540/detail/541393/
5186,540409,Germany,NEW BOAT,Italmar WA 20 Plus,Italmar,2023,powerboats,Cabin Cruiser,GRP,6.0,2.4,0.4,1,150.0,110.0,53999.0,https://www.boat24.com/en/powerboats/italmar/italmar-wa-20-plus/detail/540409/
5191,543111,Spain,USED BOAT,Nautitech Catamarans 44 Open,Nautitech,2023,sailingboats,Catamaran,GRP,13.3,7.36,1.45,2,60.0,44.0,750000.0,https://www.boat24.com/en/sailingboats/nautitech-catamarans/nautitech-catamarans-44-open/detail/543111/
5194,531152,Germany,NEW BOAT,Bayliner Element M15  und Trailer,Bayliner,2023,powerboats,Sport Boat,GRP,4.63,2.04,0.64,1,15.0,11.0,18299.0,https://www.boat24.com/en/powerboats/bayliner/bayliner-element-m15-und-trailer/detail/531152/
5196,538215,Switzerland,USED BOAT,Nidelv 26,Nidelv,1989,powerboats,Cabin Cruiser,GRP,7.8,2.8,1.0,1,100.0,74.0,28560.0,https://www.boat24.com/en/powerboats/nidelv/nidelv-26/detail/538215/
5197,535204,Netherlands,NEW BOAT,Viknes 1030 Sunbridge,Viknes,2023,powerboats,Flybridge,GRP,10.96,3.42,1.15,1,370.0,272.0,425000.0,https://www.boat24.com/en/powerboats/viknes/viknes-1030-sunbridge/detail/535204/
5200,518988,Spain,USED BOAT,JEANNEAU 57,JEANNEAU,2015,sailingboats,Cruising Yacht,Aluminium,17.78,5.0,2.5,1,140.0,103.0,469000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-57/detail/518988/
5201,537713,Netherlands,NEW BOAT,Saga 330 HT,Saga,2022,powerboats,Hardtop,GRP,9.78,3.3,1.05,1,300.0,221.0,330000.0,https://www.boat24.com/en/powerboats/saga/saga-330-ht/detail/537713/
5203,539267,Germany,USED BOAT,Kleiner Adler,Kleiner,1989,powerboats,Cabin Cruiser,Wood,7.0,2.5,0.8,1,80.0,59.0,18900.0,https://www.boat24.com/en/powerboats/kleiner-adler/detail/539267/
5205,507394,Italy,USED BOAT,nan,nan,1985,powerboats,Cabin Cruiser,GRP,8.3,3.15,1.1,2,175.0,129.0,18000.0,https://www.boat24.com/en/powerboats/rio/rio-830/detail/507394/
5206,543170,Netherlands,USED BOAT,De Vries Lensch GSAK,De,1978,powerboats,Motor Yacht,Steel,10.5,3.1,0.9,1,58.0,43.0,26500.0,https://www.boat24.com/en/powerboats/de-vries-lensch-gsak/detail/543170/
5209,540868,Germany,USED BOAT,Monterey 264 FSC CUDDY,Monterey,2013,powerboats,Classic Power Boat,GRP,8.0,2.56,1.02,1,431.0,317.0,70000.0,https://www.boat24.com/en/powerboats/monterey/monterey-264-fsc-cuddy/detail/540868/
5210,542946,Switzerland,USED BOAT,Cranchi Derby 700,Cranchi,1988,powerboats,Classic Power Boat,GRP,7.2,2.41,0.7,1,240.0,177.0,25500.0,https://www.boat24.com/en/powerboats/cranchi/cranchi-derby-700/detail/542946/
5214,488035,Netherlands,USED BOAT,Feadship Paviljoentjalk,Feadship,1957,sailingboats,Sailing Superyacht,Steel,27.7,5.4,1.3,2,204.0,150.0,925000.0,https://www.boat24.com/en/sailingboats/feadship-paviljoentjalk/detail/488035/
5215,545621,Italy,USED BOAT,Raffaelli SUPERTYPHOON,Raffaelli,1986,powerboats,Flybridge,GRP,11.98,4.32,1.2,2,380.0,279.0,83000.0,https://www.boat24.com/en/powerboats/raffaelli/raffaelli-supertyphoon/detail/545621/
5219,521906,Netherlands,USED BOAT,"IJsselmeerkotter 15,50",IJsselmeerkotter,1960,powerboats,Trawler,Steel,16.0,4.02,1.6,1,152.0,112.0,290000.0,https://www.boat24.com/en/powerboats/ijsselmeerkotter-1550/detail/521906/
5222,224226,Switzerland,NEW BOAT,Sunbeam 28.1,Sunbeam,2023,sailingboats,Sailing Yacht,GRP,8.5,2.49,1.65,1,13.0,10.0,118362.0,https://www.boat24.com/en/sailingboats/sunbeam/sunbeam-281/detail/224226/
5224,538057,Germany,USED BOAT,Renken 190 CB,Renken,1992,powerboats,Sport Boat,GRP,5.9,2.4,0.8,1,175.0,129.0,13900.0,https://www.boat24.com/en/powerboats/renken/renken-190-cb/detail/538057/
5226,500727,Italy,USED BOAT,Hallberg-Rassy 45,Hallberg-Rassy,1990,sailingboats,Motorsailer,GRP,14.12,4.32,1.8,1,95.0,70.0,210000.0,https://www.boat24.com/en/sailingboats/hallberg-rassy/hallberg-rassy-45/detail/500727/
5227,512818,Italy,USED BOAT,Beneteau OCEANIS 500,Beneteau,1989,sailingboats,Sailing Yacht,GRP,14.97,4.7,1.9,1,80.0,59.0,99000.0,https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-500/detail/512818/
5232,538953,Denmark,USED BOAT,Phantom 42 - 1983,Phantom,1983,sailingboats,Sailing Yacht,GRP,12.7,3.5,2.1,1,36.0,26.0,63700.0,https://www.boat24.com/en/sailingboats/phantom-42--1983/detail/538953/
5233,531729,Puerto,USED BOAT,Riviera 505 SUV,Riviera,2020,powerboats,Motor Yacht,GRP,17.02,4.96,1.38,2,725.0,533.0,1554800.0,https://www.boat24.com/en/powerboats/riviera/riviera-505-suv/detail/531729/
5236,528126,Spain,USED BOAT,Azimut 80 Flybridge,Azimut,2017,powerboats,Flybridge,GRP,25.2,5.96,1.72,2,1550.0,1140.0,2950000.0,https://www.boat24.com/en/powerboats/azimut/azimut-80-flybridge/detail/528126/
5239,472807,Germany,USED BOAT,Bavaria Cruiser 41,Bavaria,2021,sailingboats,Sailing Yacht,GRP,12.35,3.96,1.65,1,50.0,37.0,219000.0,https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-41/detail/472807/
5241,499960,Switzerland,USED BOAT,Freedom 230XL,Freedom,1993,powerboats,Sport Boat,GRP,7.0,2.5,0.55,1,300.0,221.0,29478.0,https://www.boat24.com/en/powerboats/freedom/freedom-230xl/detail/499960/
5244,487733,France,USED BOAT,Fjord 42 Open,Fjord,2022,powerboats,Motor Yacht,GRP,13.45,4.25,1.14,2,320.0,235.0,769000.0,https://www.boat24.com/en/powerboats/fjord/fjord-42-open/detail/487733/
5247,540192,Germany,USED BOAT,Nordborg 40,Nordborg,2015,sailingboats,Sailing Yacht,GRP,11.99,3.18,1.95,1,40.0,29.0,265000.0,https://www.boat24.com/en/sailingboats/nordborg/nordborg-40/detail/540192/
5248,534856,Germany,USED BOAT,nan,nan,1992,sailingboats,Sailing Yacht,GRP,10.36,4.8,0.8,1,28.0,21.0,77000.0,https://www.boat24.com/en/sailingboats/prout/prout-event-34/detail/534856/
5249,513449,Germany,NEW BOAT,Regal LX4 OUTBOARD JANUAR 2023,Regal,2023,powerboats,Sport Boat,GRP,7.4,2.5,0.8,1,300.0,221.0,155000.0,https://www.boat24.com/en/powerboats/regal/regal-lx4-outboard-januar-2023/detail/513449/
5250,529257,Germany,NEW BOAT,Four Winns H2e,Four,2023,powerboats,Bowrider,GRP,6.7,2.54,0.94,1,180.0,132.0,236290.0,https://www.boat24.com/en/powerboats/four-winns/four-winns-h2e/detail/529257/
5253,538822,Switzerland,USED BOAT,Beneteau Barracuda 7,Beneteau,2014,powerboats,Cabin Cruiser,GRP,6.46,2.64,0.4,1,100.0,74.0,32640.0,https://www.boat24.com/en/powerboats/beneteau/beneteau-barracuda-7/detail/538822/
5254,535238,Germany,USED BOAT,Sarins SARGO 33,Sarins,2022,powerboats,Motor Yacht,GRP,10.99,3.45,1.05,2,299.0,220.0,435000.0,https://www.boat24.com/en/powerboats/sarins/sarins-sargo-33/detail/535238/
5257,544089,Netherlands,USED BOAT,Borndiep 1385,Borndiep,2022,powerboats,Motor Yacht,Steel,13.85,4.55,1.1,1,115.0,85.0,540000.0,https://www.boat24.com/en/powerboats/borndiep-1385/detail/544089/
5259,526252,Spain,USED BOAT,Beneteau First 285,Beneteau,1990,sailingboats,Keelboat,GRP,8.77,2.99,1.6,1,17.0,13.0,27900.0,https://www.boat24.com/en/sailingboats/beneteau/beneteau-first-285/detail/526252/
5262,538662,Italy,USED BOAT,Bavaria 30 Sport,Bavaria,2008,powerboats,Motor Yacht,GRP,9.6,2.98,0.85,2,225.0,165.0,61200.0,https://www.boat24.com/en/powerboats/bavaria/bavaria-30-sport/detail/538662/
5264,408954,Switzerland,USED BOAT,Altena 120 Family Cruiser,Altena,2000,powerboats,Cabin Cruiser,Steel,12.6,4.0,1.3,1,126.0,93.0,198900.0,https://www.boat24.com/en/powerboats/altena/altena-120-family-cruiser/detail/408954/
5265,348285,Switzerland,NEW BOAT,Escape Sloepen 750,Escape,2020,powerboats,Trawler,GRP,7.5,2.5,0.65,1,60.0,44.0,33000.0,https://www.boat24.com/en/powerboats/escape-sloepen/escape-sloepen-750/detail/348285/
5266,511232,Croatia,USED BOAT,nan,nan,2020,powerboats,Flybridge,GRP,17.65,4.88,1.47,2,800.0,588.0,1650000.0,https://www.boat24.com/en/powerboats/princess/princess-f55/detail/511232/
5273,538102,Netherlands,USED BOAT,nan,nan,1978,powerboats,Motor Yacht,Steel,15.0,3.78,1.25,1,268.0,197.0,90000.0,https://www.boat24.com/en/powerboats/schottel/schottel-15/detail/538102/
5274,531349,Germany,USED BOAT,Jeanneau Merry Fisher 895,Jeanneau,2020,powerboats,Motor Yacht,GRP,8.9,2.99,0.63,2,200.0,147.0,149000.0,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-merry-fisher-895/detail/531349/
5275,476221,Poland,NEW BOAT,HT Catamarans Houseboat HT11 + PETROL ENGINE,HT,2023,powerboats,Houseboat,Steel,9.9,4.6,0.5,1,10.0,7.0,160900.0,https://www.boat24.com/en/powerboats/ht-catamarans/ht-catamarans-houseboat-ht11-petrol-engine/detail/476221/
5276,537579,Germany,USED BOAT,2022 Waterlily Large Canal Hausboot,2022,2022,powerboats,Houseboat,GRP,11.25,4.5,0.6,1,50.0,37.0,139500.0,https://www.boat24.com/en/powerboats/2022-waterlily-large-canal-hausboot/detail/537579/
5277,544170,Switzerland,USED BOAT,Fairline Targa 33,Fairline,1993,powerboats,Motor Yacht,GRP,10.04,3.49,0.6,2,244.0,179.0,86700.0,https://www.boat24.com/en/powerboats/fairline/fairline-targa-33/detail/544170/
5283,517982,Netherlands,USED BOAT,Nidelv 950 S-line / DIRECT LEVERBAAR,Nidelv,2022,powerboats,Cabin Cruiser,GRP,9.46,3.3,0.82,1,110.0,81.0,219320.0,https://www.boat24.com/en/powerboats/nidelv/nidelv-950-s-line-direct-leverbaar/detail/517982/
5288,468447,Switzerland,NEW BOAT,Titanium 430,Titanium,2023,powerboats,Sport Boat,GRP,4.3,1.8,0.25,1,80.0,59.0,14229.0,https://www.boat24.com/en/powerboats/titanium/titanium-430/detail/468447/
5290,528280,Germany,USED BOAT,Condor Yachting Comtess 44,Condor,1974,powerboats,Motor Yacht,GRP,13.25,4.15,1.0,2,225.0,165.0,84900.0,https://www.boat24.com/en/powerboats/condor-yachting/condor-yachting-comtess-44/detail/528280/
5291,529148,Germany,NEW BOAT,Hanse 508,Hanse,2023,sailingboats,Sailing Yacht,GRP,15.55,4.75,2.4,1,80.0,59.0,499500.0,https://www.boat24.com/en/sailingboats/hanse/hanse-508/detail/529148/
5296,545458,Germany,USED BOAT,Compromis 909,Compromis,1984,sailingboats,Sailing Yacht,Wood,9.35,3.4,1.5,1,27.0,20.0,34600.0,https://www.boat24.com/en/sailingboats/compromis/compromis-909/detail/545458/
5302,501967,Italy,USED BOAT,nan,nan,2015,powerboats,Motor Yacht,GRP,15.8,4.11,1.07,2,435.0,320.0,590000.0,https://www.boat24.com/en/powerboats/princess/princess-v48/detail/501967/
5305,519136,Netherlands,USED BOAT,Apreamare 11,Apreamare,2000,powerboats,Motor Yacht,GRP,10.75,3.95,0.7,2,370.0,272.0,179000.0,https://www.boat24.com/en/powerboats/apreamare/apreamare-11/detail/519136/
5307,519883,France,USED BOAT,Capelli TEMPEST 775,Capelli,2022,inflatableboats,RIB,PVC,7.75,2.95,0.5,1,250.0,184.0,92000.0,https://www.boat24.com/en/inflatableboats/capelli/capelli-tempest-775/detail/519883/
5310,533064,Antigua,USED BOAT,Leopard 45,Leopard,2019,sailingboats,Catamaran,GRP,13.72,7.37,1.5,2,45.0,33.0,510600.0,https://www.boat24.com/en/sailingboats/leopard/leopard-45/detail/533064/
5311,532225,Italy,USED BOAT,Golia,Golia,1980,sailingboats,Classic Sailing Yacht,Wood,5.25,2.3,0.6,1,50.0,37.0,6000.0,https://www.boat24.com/en/sailingboats/golia/detail/532225/
5312,528304,Germany,USED BOAT,Gruno 35 S,Gruno,1994,powerboats,Trawler,Steel,10.5,3.56,1.0,1,130.0,96.0,87000.0,https://www.boat24.com/en/powerboats/gruno/gruno-35-s/detail/528304/
5315,343992,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Motor Yacht,GRP,9.8,3.0,0.93,2,240.0,177.0,216500.0,https://www.boat24.com/en/powerboats/viper/viper-323-s-mit-lp-am-bodensee/detail/343992/
5316,516345,Switzerland,USED BOAT,Helbling Neptun 27,Helbling,1986,sailingboats,Sailing Yacht,GRP,8.45,2.5,1.25,1,80.0,59.0,12750.0,https://www.boat24.com/en/sailingboats/helbling/helbling-neptun-27/detail/516345/
5317,530639,Turkey,USED BOAT,nan,nan,2017,sailingboats,Sailing Yacht,GRP,12.35,3.96,2.09,1,55.0,40.0,215000.0,https://www.boat24.com/en/sailingboats/bavaria/bavaria-41-cruiser/detail/530639/
5322,503316,Switzerland,USED BOAT,Drachen Borresens GFK,Drachen,1984,sailingboats,Daysailer,GRP,8.9,1.96,1.24,1,60.0,44.0,10098.0,https://www.boat24.com/en/sailingboats/drachen/drachen-borresens-gfk/detail/503316/
5324,545031,Netherlands,USED BOAT,Bayliner 3555 Avanti,Bayliner,1990,powerboats,Motor Yacht,GRP,11.8,3.6,0.8,2,260.0,191.0,42000.0,https://www.boat24.com/en/powerboats/bayliner/bayliner-3555-avanti/detail/545031/
5328,544258,Italy,USED BOAT,Sessa F42 - 2022,Sessa,2022,powerboats,Flybridge,GRP,13.1,3.9,0.95,2,380.0,279.0,699000.0,https://www.boat24.com/en/powerboats/sessa/sessa-f42--2022/detail/544258/
5331,397288,Germany,NEW BOAT,Tender 15,Tender,2023,powerboats,Deck Boat,GRP,4.5,2.0,0.34,1,80.0,59.0,24999.0,https://www.boat24.com/en/powerboats/tender-15/detail/397288/
5335,541799,Spain,USED BOAT,Crownline 255 CCR,Crownline,2007,powerboats,Motor Yacht,GRP,8.1,2.59,0.99,1,260.0,191.0,45000.0,https://www.boat24.com/en/powerboats/crownline/crownline-255-ccr/detail/541799/
5336,535415,Netherlands,USED BOAT,Sealine S37,Sealine,1999,powerboats,Motor Yacht,GRP,11.3,3.7,1.2,2,260.0,191.0,119000.0,https://www.boat24.com/en/powerboats/sealine/sealine-s37/detail/535415/
5337,530267,Italy,USED BOAT,Dufour 43 Classic,Dufour,1999,sailingboats,Sailing Yacht,GRP,13.05,4.3,1.9,1,55.0,40.0,98000.0,https://www.boat24.com/en/sailingboats/dufour/dufour-43-classic/detail/530267/
5339,464286,Netherlands,USED BOAT,Polar Electric 22,Polar,2010,powerboats,Sloep,GRP,6.7,2.35,0.5,1,3500.0,2574.0,26500.0,https://www.boat24.com/en/powerboats/polar-electric-22/detail/464286/
5341,540508,Germany,USED BOAT,Conquest 17CB,Conquest,1996,powerboats,Bowrider,GRP,5.9,2.1,0.4,1,140.0,103.0,6950.0,https://www.boat24.com/en/powerboats/conquest/conquest-17cb/detail/540508/
5348,519641,Switzerland,USED BOAT,Princess V40,Princess,2022,powerboats,Cabin Cruiser,GRP,11.64,3.75,1.1,2,380.0,279.0,586500.0,https://www.boat24.com/en/powerboats/princess/princess-v40/detail/519641/
5349,433295,Germany,NEW BOAT,Galeon 400 FLY,Galeon,2023,powerboats,Flybridge,GRP,12.5,4.0,0.86,2,270.0,199.0,4000000.0,https://www.boat24.com/en/powerboats/galeon/galeon-400-fly/detail/433295/
5351,544853,Switzerland,USED BOAT,Elan 34,Elan,1994,sailingboats,Keelboat,GRP,10.4,3.3,1.8,1,18.0,13.0,35700.0,https://www.boat24.com/en/sailingboats/elan/elan-34/detail/544853/
5355,544518,Greece,USED BOAT,Dufour 385GL,Dufour,2005,sailingboats,Cruising Yacht,GRP,11.72,3.93,1.76,1,29.0,21.0,69000.0,https://www.boat24.com/en/sailingboats/dufour/dufour-385gl/detail/544518/
5356,526325,Switzerland,USED BOAT,Wellcraft MARTINIQUE 2400,Wellcraft,2003,powerboats,Cabin Cruiser,GRP,7.32,2.59,1.02,1,275.0,202.0,39500.0,https://www.boat24.com/en/powerboats/wellcraft/wellcraft-martinique-2400/detail/526325/
5360,523368,Netherlands,NEW BOAT,X-Shore X Shore 1,X-Shore,2023,powerboats,Sport Boat,GRP,6.5,2.23,0.65,1,170.0,125.0,99000.0,https://www.boat24.com/en/powerboats/x-shore/x-shore-x-shore-1/detail/523368/
5362,544789,Germany,USED BOAT,Sea Ray SRV 190,Sea,1970,powerboats,Classic Power Boat,GRP,5.55,2.2,0.35,1,123.0,90.0,7900.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-srv-190/detail/544789/
5363,463341,Slovenia,NEW BOAT,Selene 42 Europa,Selene,2024,powerboats,Trawler,GRP,13.7,4.42,1.42,1,180.0,132.0,591376.0,https://www.boat24.com/en/powerboats/selene/selene-42-europa/detail/463341/
5380,544210,Spain,USED BOAT,XO Boats Xo Cruiser,XO,2018,powerboats,Motor Yacht,Aluminium,9.15,2.75,0.9,2,300.0,221.0,189000.0,https://www.boat24.com/en/powerboats/xo-boats/xo-boats-xo-cruiser/detail/544210/
5384,510810,Netherlands,USED BOAT,Nord Bank Trawler 1200 Pro,Nord,1995,powerboats,Motor Yacht,Steel,12.0,4.25,1.1,1,120.0,88.0,159000.0,https://www.boat24.com/en/powerboats/nord-bank-trawler-1200-pro/detail/510810/
5385,537997,Germany,USED BOAT,Finngulf 33 m. Liegeplatz?23,Finngulf,1990,sailingboats,Sailing Yacht,GRP,10.06,3.08,1.75,1,19.0,14.0,59900.0,https://www.boat24.com/en/sailingboats/finngulf/finngulf-33-m-liegeplatz23/detail/537997/
5386,511252,Germany,NEW BOAT,Jeanneau Sun Odyssey 380,Jeanneau,2022,sailingboats,Sailing Yacht,GRP,11.22,3.76,2.0,1,40.0,29.0,299900.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-380/detail/511252/
5389,545519,Netherlands,USED BOAT,Sloep Steelfish MK9,Sloep,2011,powerboats,Sloep,Aluminium,9.05,3.05,0.6,1,40.0,29.0,32500.0,https://www.boat24.com/en/powerboats/sloep-steelfish-mk9/detail/545519/
5395,535785,Germany,USED BOAT,Sunseeker Superhawk 34 (Motorenrevision 2019),Sunseeker,2002,powerboats,Bowrider,GRP,11.34,3.11,0.66,2,230.0,169.0,140000.0,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-superhawk-34-motorenrevision-2019/detail/535785/
5398,539828,France,USED BOAT,Gagliotta Lobster 35,Gagliotta,2023,powerboats,Motor Yacht,GRP,11.5,3.28,0.67,2,270.0,199.0,647350.0,https://www.boat24.com/en/powerboats/gagliotta/gagliotta-lobster-35/detail/539828/
5399,505972,Italy,USED BOAT,Raffaelli Typhoon Fly,Raffaelli,2000,powerboats,Flybridge,GRP,11.4,3.64,0.6,2,300.0,221.0,130000.0,https://www.boat24.com/en/powerboats/raffaelli/raffaelli-typhoon-fly/detail/505972/
5414,532280,Portugal,USED BOAT,Faeton Moraga 940,Faeton,2007,powerboats,Pilothouse,GRP,9.27,3.25,0.63,2,220.0,162.0,97000.0,https://www.boat24.com/en/powerboats/faeton/faeton-moraga-940/detail/532280/
5420,544892,Spain,USED BOAT,Lagoon 450,Lagoon,2020,sailingboats,Catamaran,GRP,13.96,7.87,1.3,2,57.0,42.0,589000.0,https://www.boat24.com/en/sailingboats/lagoon/lagoon-450/detail/544892/
5423,543738,Italy,USED BOAT,Carnevali 145,Carnevali,2016,powerboats,Cabin Cruiser,GRP,14.5,4.4,1.1,2,625.0,460.0,385000.0,https://www.boat24.com/en/powerboats/carnevali/carnevali-145/detail/543738/
